Species,EU,Patch,Corner,Distance,Live/dead,Reproductive status,# Reproductive structures,Transplant notes,# recruits in plot,# recruits out of plot,Recruit notes
AB,8,A,I,a,1,0,.,,0,0,
AV,8,A,I,a,1,1,"""1-10""",,0,0,
CB,8,A,I,a,1,0,.,,0,0,
GD,8,A,I,a,1,0,.,,0,0,
LE,8,A,I,a,1,0,.,,0,0,
NG,8,A,I,a,1,1,1,male/last year,0,0,
SS,8,A,I,a,1,1,11-100,,0,0,
AB,8,A,I,b,1,1,11-100,,0,0,
AV,8,A,I,b,1,1,"""1-10""",,0,0,
CB,8,A,I,b,1,1,11-100,,0,0,
GD,8,A,I,b,0,.,.,,0,0,
LE,8,A,I,b,1,1,11-100,,0,0,
NG,8,A,I,b,1,0,.,,0,0,
SS,8,A,I,b,1,0,.,,0,0,
AB,8,A,I,c,0,.,.,,0,0,
AV,8,A,I,c,1,1,11-100,,1,2,
CB,8,A,I,c,0,.,.,,0,0,
GD,8,A,I,c,0,.,.,,0,0,
LE,8,A,I,c,1,1,200-300,,0,0,
NG,8,A,I,c,1,0,.,,0,0,
SS,8,A,I,c,1,1,11-100,,0,0,
AB,8,A,I,d,1,1,100-200,,0,0,
AV,8,A,I,d,1,1,"""1-10""",,0,0,
CB,8,A,I,d,1,1,11-100,,0,0,
GD,8,A,I,d,0,.,.,,0,0,
LE,8,A,I,d,0,.,.,,0,0,
NG,8,A,I,d,1,0,.,,0,0,
SS,8,A,I,d,1,1,"""1-10""",,0,0,
AB,8,A,II,a,0,.,.,,0,0,
AV,8,A,II,a,0,.,.,,0,0,
CB,8,A,II,a,1,0,.,,0,0,
GD,8,A,II,a,1,0,.,,0,0,
LE,8,A,II,a,0,.,.,,0,0,
NG,8,A,II,a,1,0,.,,0,0,
SS,8,A,II,a,0,.,.,,0,0,
AB,8,A,II,b,1,1,11-100,,0,0,
AV,8,A,II,b,1,1,11-100,,0,0,
CB,8,A,II,b,1,1,11-100,,0,0,
GD,8,A,II,b,0,.,.,,0,0,
LE,8,A,II,b,1,1,11-100,,0,0,
NG,8,A,II,b,1,1,1,female,0,0,
SS,8,A,II,b,0,.,.,,0,0,
AB,8,A,II,c,1,1,100-200,,0,0,
AV,8,A,II,c,1,1,"""1-10""",,0,0,
CB,8,A,II,c,0,.,.,,0,0,
GD,8,A,II,c,1,0,.,,0,0,
LE,8,A,II,c,0,.,.,,0,0,
NG,8,A,II,c,1,0,.,,0,0,
SS,8,A,II,c,0,.,.,,0,0,
AB,8,A,II,d,1,1,11-100,,0,0,
AV,8,A,II,d,1,1,11-100,,0,0,
CB,8,A,II,d,1,1,11-100,,0,0,
GD,8,A,II,d,0,.,.,,0,0,
LE,8,A,II,d,0,.,.,,0,0,
NG,8,A,II,d,1,0,.,,0,0,
SS,8,A,II,d,1,0,.,,0,0,
AB,8,A,III,a,1,0,.,,0,0,
AV,8,A,III,a,1,0,.,,0,0,
CB,8,A,III,a,1,0,.,,0,0,
GD,8,A,III,a,1,0,.,,0,0,
LE,8,A,III,a,1,1,11-100,,0,0,
NG,8,A,III,a,1,0,.,,0,0,
SS,8,A,III,a,1,1,"""1-10""",,0,0,
AB,8,A,III,b,.,.,.,,0,0,
AV,8,A,III,b,1,0,.,,0,0,
CB,8,A,III,b,1,1,11-100,,0,0,
GD,8,A,III,b,1,0,.,,0,0,
LE,8,A,III,b,1,1,11-100,,0,0,
NG,8,A,III,b,1,0,.,,0,0,
SS,8,A,III,b,1,1,11-100,,0,0,
AB,8,A,III,c,1,1,200-300,,0,0,
AV,8,A,III,c,1,1,11-100,,0,0,
CB,8,A,III,c,1,1,11-100,,0,0,
GD,8,A,III,c,1,0,.,,1,0,
LE,8,A,III,c,0,.,.,,0,0,
NG,8,A,III,c,1,0,.,,0,0,
SS,8,A,III,c,0,.,.,,0,0,
AB,8,A,III,d,1,1,100-200,,0,0,
AV,8,A,III,d,.,.,.,,0,0,
CB,8,A,III,d,1,1,11-100,,0,0,
GD,8,A,III,d,1,0,.,,0,0,
LE,8,A,III,d,0,0,.,,0,0,
NG,8,A,III,d,1,1,1,male,0,0,
SS,8,A,III,d,0,.,.,,0,0,
AB,8,A,IV,a,1,0,.,,0,0,
AV,8,A,IV,a,.,.,.,,0,0,
CB,8,A,IV,a,.,.,.,,0,0,
GD,8,A,IV,a,.,.,.,,0,0,
LE,8,A,IV,a,.,.,.,,0,0,
NG,8,A,IV,a,1,0,.,,0,0,
SS,8,A,IV,a,.,.,.,,0,0,
AB,8,A,IV,b,1,1,"""1-10""",,0,0,
AV,8,A,IV,b,1,0,100-200,,0,0,
CB,8,A,IV,b,1,1,100-200,,0,0,
GD,8,A,IV,b,1,1,100-200,,0,0,
LE,8,A,IV,b,1,1,"""1-10""",,0,0,
NG,8,A,IV,b,1,1,"""1-10""",,0,0,
SS,8,A,IV,b,1,0,.,,0,0,
AB,8,A,IV,c,1,1,100-200,,0,0,
AV,8,A,IV,c,0,.,.,,0,0,
CB,8,A,IV,c,0,.,.,,0,0,
GD,8,A,IV,c,.,.,.,,0,0,
LE,8,A,IV,c,1,1,11-100,,0,0,
NG,8,A,IV,c,1,1,"""1-10""",female,0,0,
SS,8,A,IV,c,1,0,.,,0,0,
AB,8,A,IV,d,0,.,.,,0,0,
AV,8,A,IV,d,.,.,.,,0,0,
CB,8,A,IV,d,1,0,11-100,,0,0,
GD,8,A,IV,d,0,.,.,,0,0,
LE,8,A,IV,d,1,0,.,,0,0,
NG,8,A,IV,d,1,1,.,male or last year,0,0,
SS,8,A,IV,d,.,.,.,,0,0,
AB,8,B,I,a,.,.,.,,0,0,
AV,8,B,I,a,1,0,.,,0,0,
CB,8,B,I,a,1,0,.,,0,0,
GD,8,B,I,a,1,0,.,,0,0,
LE,8,B,I,a,1,1,11-100,,0,0,
NG,8,B,I,a,1,0,.,,0,0,
SS,8,B,I,a,.,.,.,,0,0,
AB,8,B,I,b,.,.,.,,0,0,
AV,8,B,I,b,1,1,11-100,,0,0,
CB,8,B,I,b,1,0,.,,0,0,
GD,8,B,I,b,.,.,.,,0,0,
LE,8,B,I,b,0,.,.,,0,0,
NG,8,B,I,b,1,0,.,,0,0,
SS,8,B,I,b,1,1,"""1-10""",,0,0,
AB,8,B,I,c,.,.,.,,0,0,
AV,8,B,I,c,1,1,11-100,,0,0,
CB,8,B,I,c,1,1,11-100,,1,0,
GD,8,B,I,c,1,0,.,,0,0,
LE,8,B,I,c,.,.,.,,0,0,
NG,8,B,I,c,1,0,.,,0,0,
SS,8,B,I,c,1,1,11-100,,0,0,
AB,8,B,I,d,1,1,100-200,,0,0,
AV,8,B,I,d,1,1,11-100,,0,0,
CB,8,B,I,d,1,1,100-200,,2,0,
GD,8,B,I,d,.,.,.,,0,0,
LE,8,B,I,d,1,1,100-200,,0,0,
NG,8,B,I,d,1,1,.,male or last year,0,0,
SS,8,B,I,d,1,1,11-100,,0,0,
AB,8,B,II,a,1,0,.,,0,0,
AV,8,B,II,a,.,.,.,,0,0,
CB,8,B,II,a,1,1,11-100,,0,0,
GD,8,B,II,a,.,.,.,,0,0,
LE,8,B,II,a,1,1,11-100,,0,0,
NG,8,B,II,a,1,0,.,,0,0,
SS,8,B,II,a,.,.,.,,0,0,
AB,8,B,II,b,1,1,11-100,,0,0,
AV,8,B,II,b,.,.,.,,0,0,
CB,8,B,II,b,1,1,11-100,,2,0,
GD,8,B,II,b,1,0,.,,0,0,
LE,8,B,II,b,1,0,.,,0,0,
NG,8,B,II,b,1,1,1,female,0,0,
SS,8,B,II,b,1,1,"""1-10""",,0,0,
AB,8,B,II,c,1,1,1-200,,0,0,
AV,8,B,II,c,1,1,11-100,,0,0,
CB,8,B,II,c,1,1,1-200,,2,0,
GD,8,B,II,c,1,0,.,,0,0,
LE,8,B,II,c,1,0,.,,0,0,
NG,8,B,II,c,.,.,.,,0,0,
SS,8,B,II,c,1,1,11-100,,0,0,
AB,8,B,II,d,1,1,100-200,,0,0,
AV,8,B,II,d,1,1,11-100,,0,0,
CB,8,B,II,d,1,1,11-100,,2,0,
GD,8,B,II,d,.,.,.,,0,0,
LE,8,B,II,d,1,1,100-200,,0,0,
NG,8,B,II,d,1,0,.,,0,0,
SS,8,B,II,d,1,1,11-100,,2,2,
AB,8,B,III,a,.,.,.,,0,0,
AV,8,B,III,a,1,1,"""1-10""",,0,0,
CB,8,B,III,a,1,1,"""1-10""",,0,0,
GD,8,B,III,a,.,.,.,,0,0,
LE,8,B,III,a,1,0,.,,0,0,
NG,8,B,III,a,1,0,.,,0,0,
SS,8,B,III,a,.,.,.,,0,0,
AB,8,B,III,b,1,1,100-200,,0,0,
AV,8,B,III,b,1,1,11-100,,0,0,
CB,8,B,III,b,1,1,100-200,,6,0,
GD,8,B,III,b,.,.,.,,0,0,
LE,8,B,III,b,1,1,100-200,,0,0,
NG,8,B,III,b,1,0,.,,0,0,
SS,8,B,III,b,1,1,"""1-10""",,0,0,
AB,8,B,III,c,1,1,100-200,,0,0,
AV,8,B,III,c,1,1,11-100,,0,0,
CB,8,B,III,c,1,1,100-200,,0,0,
GD,8,B,III,c,.,.,.,,0,0,
LE,8,B,III,c,1,0,.,,0,0,
NG,8,B,III,c,.,.,.,,0,0,
SS,8,B,III,c,.,.,.,,0,0,
AB,8,B,III,d,0,.,.,,2,0,
AV,8,B,III,d,.,.,.,,0,0,
CB,8,B,III,d,1,1,11-100,,6,3,
GD,8,B,III,d,.,.,.,,0,0,
LE,8,B,III,d,.,.,.,,0,0,
NG,8,B,III,d,1,1,2,male,0,0,
SS,8,B,III,d,1,0,.,,0,0,
AB,8,B,IV,a,1,0,.,,0,0,
AV,8,B,IV,a,0,.,.,,0,0,
CB,8,B,IV,a,1,1,100-200,,0,0,
GD,8,B,IV,a,1,0,.,,0,0,
LE,8,B,IV,a,1,1,100-200,,0,0,
NG,8,B,IV,a,1,0,.,,0,0,
SS,8,B,IV,a,0,.,.,,0,0,
AB,8,B,IV,b,1,1,11-100,,0,0,
AV,8,B,IV,b,1,1,11-100,,0,0,
CB,8,B,IV,b,1,1,100-200,,1,1,
GD,8,B,IV,b,0,0,.,,0,0,
LE,8,B,IV,b,1,0,.,,0,0,
NG,8,B,IV,b,1,0,.,,0,0,
SS,8,B,IV,b,0,0,.,,0,0,
AB,8,B,IV,c,1,1,100-200,,0,0,
AV,8,B,IV,c,.,.,.,,0,0,
CB,8,B,IV,c,1,1,100-200,,0,0,
GD,8,B,IV,c,.,.,.,,0,0,
LE,8,B,IV,c,1,1,11-100,,0,0,
NG,8,B,IV,c,1,0,.,,0,0,
SS,8,B,IV,c,1,1,11-100,,0,0,
AB,8,B,IV,d,1,1,100-200,,0,0,
AV,8,B,IV,d,.,.,.,,0,0,
CB,8,B,IV,d,1,1,11-100,,0,0,
GD,8,B,IV,d,1,0,.,,0,0,
LE,8,B,IV,d,.,.,.,,0,0,
NG,8,B,IV,d,1,0,.,,0,0,
SS,8,B,IV,d,1,1,11-100,,0,0,
AB,8,C,I,a,1,0,.,,0,0,
AV,8,C,I,a,1,1,"""1-10""",,0,0,
CB,8,C,I,a,1,1,11-100,,0,0,
GD,8,C,I,a,0,.,.,,0,0,
LE,8,C,I,a,1,1,11-100,,0,0,
NG,8,C,I,a,1,0,.,,0,0,
SS,8,C,I,a,1,1,"""1-10""",,0,0,
AB,8,C,I,b,0,.,.,,0,0,
AV,8,C,I,b,1,1,11-100,,0,0,
CB,8,C,I,b,1,1,11-100,,0,0,
GD,8,C,I,b,0,.,.,,0,0,
LE,8,C,I,b,0,.,.,,0,0,
NG,8,C,I,b,1,1,1,male/repro last year,0,0,
SS,8,C,I,b,1,0,.,,0,0,
AB,8,C,I,c,1,1,100-200,,0,0,
AV,8,C,I,c,1,0,.,,0,0,
CB,8,C,I,c,1,1,100-200,,2,1,
GD,8,C,I,c,0,.,.,,0,0,
LE,8,C,I,c,0,.,.,,0,0,
NG,8,C,I,c,0,.,.,,0,0,
SS,8,C,I,c,1,1,1,,0,0,
AB,8,C,I,d,1,1,100-200,,0,0,
AV,8,C,I,d,0,.,.,,0,0,
CB,8,C,I,d,1,1,11-100,,0,0,
GD,8,C,I,d,1,0,.,,0,0,
LE,8,C,I,d,0,.,.,,0,0,
NG,8,C,I,d,1,1,1,female,0,0,
SS,8,C,I,d,0,.,.,,0,0,
AB,8,C,II,a,0,.,.,,0,0,
AV,8,C,II,a,1,1,"""1-10""",,0,0,
CB,8,C,II,a,1,1,11-100,,0,0,
GD,8,C,II,a,1,0,.,,0,0,
LE,8,C,II,a,1,0,.,,0,0,
NG,8,C,II,a,1,0,.,,0,0,
SS,8,C,II,a,1,1,"""1-10""",,0,0,
AB,8,C,II,b,1,1,11-100,,0,0,
AV,8,C,II,b,1,1,11-100,,0,0,
CB,8,C,II,b,1,1,11-100,,3,0,
GD,8,C,II,b,1,0,.,,0,0,
LE,8,C,II,b,1,0,.,,0,0,
NG,8,C,II,b,1,1,1,male,0,0,
SS,8,C,II,b,1,1,"""1-10""",,0,0,
AB,8,C,II,c,1,1,100-200,,0,0,
AV,8,C,II,c,1,1,"""1-10""",,0,0,
CB,8,C,II,c,1,1,11-100,,0,0,
GD,8,C,II,c,1,0,.,,0,0,
LE,8,C,II,c,1,1,100-200,,0,0,
NG,8,C,II,c,1,0,.,,0,0,
SS,8,C,II,c,1,1,"""1-10""",,0,0,
AB,8,C,II,d,1,0,.,,0,0,
AV,8,C,II,d,0,.,.,,0,0,
CB,8,C,II,d,1,1,11-100,,0,1,
GD,8,C,II,d,1,0,.,,0,0,
LE,8,C,II,d,0,.,.,,0,0,
NG,8,C,II,d,1,1,1,male,0,0,
SS,8,C,II,d,1,0,.,,0,0,
AB,8,C,III,a,1,0,.,,0,0,
AV,8,C,III,a,1,0,.,,0,0,
CB,8,C,III,a,1,0,.,,0,0,
GD,8,C,III,a,1,0,.,,0,0,
LE,8,C,III,a,1,0,.,,0,0,
NG,8,C,III,a,0,.,.,,0,0,
SS,8,C,III,a,0,.,.,,0,0,
AB,8,C,III,b,1,1,200-300,,0,0,
AV,8,C,III,b,0,.,.,,0,0,
CB,8,C,III,b,1,1,11-100,,2,1,
GD,8,C,III,b,1,0,.,,1,0,
LE,8,C,III,b,1,1,11-100,,0,0,
NG,8,C,III,b,1,1,1,female,0,0,
SS,8,C,III,b,1,1,"""1-10'",,0,0,
AB,8,C,III,c,1,1,200-300,,0,0,
AV,8,C,III,c,0,.,.,,0,0,
CB,8,C,III,c,1,1,11-100,,0,0,
GD,8,C,III,c,0,.,.,,0,0,
LE,8,C,III,c,0,.,.,,0,0,
NG,8,C,III,c,1,1,1?,male/repro last year,0,0,
SS,8,C,III,c,1,0,.,,0,0,
AB,8,C,III,d,1,1,200-300,,0,0,
AV,8,C,III,d,1,1,"""1-10""",,0,0,
CB,8,C,III,d,1,1,11-100,,0,0,
GD,8,C,III,d,0,.,.,,0,0,
LE,8,C,III,d,0,.,.,,0,0,
NG,8,C,III,d,1,0,.,,0,0,
SS,8,C,III,d,1,1,11-100,,0,0,
AB,8,C,IV,a,1,1,"""1-10""",,0,0,
AV,8,C,IV,a,1,1,<10,,0,0,
CB,8,C,IV,a,1,1,10-100,,0,0,
GD,8,C,IV,a,1,0,.,,0,0,
LE,8,C,IV,a,1,0,.,,0,0,
NG,8,C,IV,a,1,1,.,female,0,0,
SS,8,C,IV,a,0,0,.,,0,0,
AB,8,C,IV,b,1,1,100-200,,0,0,
AV,8,C,IV,b,1,1,10-100,,0,0,
CB,8,C,IV,b,1,1,10-100,,0,0,
GD,8,C,IV,b,0,0,.,,0,0,
LE,8,C,IV,b,.,.,.,,.,.,
NG,8,C,IV,b,1,1,.,,0,0,
SS,8,C,IV,b,.,.,.,.,.,.,
AB,8,C,IV,c,1,1,200,,0,0,
AV,8,C,IV,c,1,1,"""1-10""",,0,0,
CB,8,C,IV,c,1,1,11-100,,2,1,
GD,8,C,IV,c,0,.,.,,0,0,
LE,8,C,IV,c,0,.,.,,0,0,
NG,8,C,IV,c,1,0,.,,0,0,
SS,8,C,IV,c,1,1,11-100,,0,0,
AB,8,C,IV,d,1,1,11-100,,0,0,
AV,8,C,IV,d,1,1,"""1-10""",,0,0,
CB,8,C,IV,d,1,1,11-100,,1,0,
GD,8,C,IV,d,0,.,.,,0,0,
LE,8,C,IV,d,0,.,.,,0,0,
