Entry Order,Block,Patch,Corner,Dist,Species,2015 Survival Status,Position,Alive?,Repro Status,Recruit Count,Subset?,Quandrant?,Notes,Location_Info_Incorrect (1 = incorrect)
1,8,B,I,a,CB,1,1,1,0,2,,,,
2,8,B,I,a,SS,0,2,0,,0,,,,
3,8,B,I,a,LE,0,3,0,,0,,,,
4,8,B,I,a,GD,1,4,1,0,0,,,,
5,8,B,I,a,AV,1,5,1,0,0,,,,
6,8,B,I,a,AB,0,6,0,,0,,,,
7,8,B,I,a,NG,1,8,1,0,0,,,,
8,8,B,I,b,LE,0,1,0,,0,,,,
9,8,B,I,b,GD,0,3,0,,,,,,
10,8,B,I,b,AB,0,4,0,,0,,,,
11,8,B,I,b,CB,0,5,0,,0,,,,
12,8,B,I,b,AV,1,6,1,0,17,,,,
13,8,B,I,b,SS,1,7,1,1,0,,,,
14,8,B,I,b,NG,1,8,1,1,0,,,,
15,8,B,I,c,SS,0,1,0,,0,,,,
16,8,B,I,c,AB,0,2,0,,0,,,,
17,8,B,I,c,AV,1,3,1,0,0,,,,
18,8,B,I,c,NG,1,4,1,0,0,,,,
19,8,B,I,c,CB,1,5,0,,0,,,,
20,8,B,I,c,GD,0,6,0,,,,,,
21,8,B,I,c,LE,0,8,0,,0,,,,
22,8,B,I,d,AB,1,2,1,0,9,,,,
23,8,B,I,d,GD,0,3,0,,0,,,,
24,8,B,I,d,NG,1,4,0,,0,,,,
25,8,B,I,d,LE,1,5,1,1,0,,,,
26,8,B,I,d,CB,1,7,0,,2,,,,
27,8,B,I,d,AV,1,8,1,1,0,,,,
28,8,B,I,d,SS,0,9,0,,2,,,,
29,8,B,II,a,AV,0,2,0,,0,,,,
30,8,B,II,a,CB,1,3,1,1,8,,,,
31,8,B,II,a,SS,0,4,0,,0,,,,
32,8,B,II,a,AB,1,5,1,,0,,,,
33,8,B,II,a,NG,1,6,1,1,0,,,,
34,8,B,II,a,LE,0,7,0,,0,,,,
35,8,B,II,a,GD,0,9,0,,0,,,,
36,8,B,II,b,CB,0,2,0,,9,,,,
37,8,B,II,b,SS,0,3,0,,0,,,,
38,8,B,II,b,NG,1,4,1,1,2,,,,
39,8,B,II,b,AB,1,5,1,0,0,,,,
40,8,B,II,b,GD,1,6,1,0,0,,,,
41,8,B,II,b,AV,0,8,1,0,0,,,,
42,8,B,II,b,LE,0,9,0,,0,,,,
43,8,B,II,c,NG,1,2,1,1,0,,,,
44,8,B,II,c,AB,1,3,1,0,23,,,,
45,8,B,II,c,GD,1,4,1,0,0,,,,
46,8,B,II,c,LE,1,5,1,0,0,,,,
47,8,B,II,c,CB,1,6,1,1,7,,,,
48,8,B,II,c,SS,0,8,1,1,1,,,,
49,8,B,II,c,AV,1,9,1,1,0,,,,
50,8,B,II,d,LE,1,2,0,0,21,,,,
51,8,B,II,d,AV,1,3,1,1,6,,,,
52,8,B,II,d,CB,0,4,0,,3,,,,
53,8,B,II,d,AB,1,5,1,0,3,,,,
54,8,B,II,d,SS,0,6,0,1,5,,,,
55,8,B,II,d,NG,1,7,1,1,0,,,,
56,8,B,II,d,GD,0,8,0,,,,,,
57,8,B,III,a,AB,0,2,0,,0,,,,
58,8,B,III,a,LE,1,3,0,0,1,,,,
59,8,B,III,a,GD,0,4,0,,0,,,,
60,8,B,III,a,AV,1,5,1,1,0,,,,
61,8,B,III,a,SS,0,6,0,,0,,,,
62,8,B,III,a,CB,1,7,0,,0,,,,
63,8,B,III,a,NG,1,8,1,0,0,,,,
64,8,B,III,b,AB,1,1,1,0,0,,,,
65,8,B,III,b,LE,1,3,1,0,12,,,,
66,8,B,III,b,AV,1,4,1,1,2,,,,
67,8,B,III,b,SS,0,5,0,,0,,,,
68,8,B,III,b,NG,1,6,1,0,0,,,,
69,8,B,III,b,GD,0,7,0,,,,,,
70,8,B,III,b,CB,1,8,1,1,16,,,,
71,8,B,III,c,SS,0,1,0,,0,,,,
72,8,B,III,c,GD,0,2,0,,0,,,,
73,8,B,III,c,AB,1,3,1,0,1,,,,
1516,57,C,II,d,AV,1,7,1,1,1,,,**This patch has greatly expanded due to tree death on periphery. Ask to have loblolly planted in matrix area that's now opened up?**,
75,8,B,III,c,AV,1,5,1,1,0,,,,
76,8,B,III,c,CB,1,6,1,1,13,,,,
77,8,B,III,c,LE,0,8,1,0,1,,,,
78,8,B,III,d,AV,1,1,1,1,0,,,,
79,8,B,III,d,SS,0,2,0,,0,,,,
80,8,B,III,d,NG,1,4,1,1,0,,,,
81,8,B,III,d,AB,0,5,0,,0,,,,
82,8,B,III,d,LE,0,6,0,,0,,,,
83,8,B,III,d,GD,0,7,0,,0,,,,
84,8,B,III,d,CB,1,8,1,0,1,,,,
85,8,B,IV,a,AV,0,2,0,,0,,,,
86,8,B,IV,a,GD,1,3,1,0,0,,,,
87,8,B,IV,a,NG,1,4,1,0,0,,,,
88,8,B,IV,a,CB,0,5,0,,2,,,,
89,8,B,IV,a,SS,0,7,0,,0,,,,
90,8,B,IV,a,LE,1,8,0,,5,,,,
91,8,B,IV,a,AB,1,9,1,0,0,,,,
92,8,B,IV,b,CB,1,2,1,1,8,,,,
93,8,B,IV,b,NG,1,3,1,0,0,,,,
94,8,B,IV,b,AV,1,4,1,1,0,,,,
95,8,B,IV,b,GD,0,5,0,,,,,,
96,8,B,IV,b,SS,0,6,0,,0,,,,
97,8,B,IV,b,AB,1,7,1,0,0,,,,
98,8,B,IV,b,LE,0,8,1,1,1,,,,
99,8,B,IV,c,AB,1,2,1,0,12,,,,
100,8,B,IV,c,GD,0,3,0,,0,,,,
101,8,B,IV,c,LE,1,4,1,0,1,,,,
102,8,B,IV,c,SS,0,5,1,1,0,,,,
103,8,B,IV,c,NG,1,6,1,1,0,,,,
104,8,B,IV,c,AV,0,7,0,1,0,,,,
105,8,B,IV,c,CB,0,8,0,1,0,,,,
106,8,B,IV,d,AB,1,3,1,0,14,,,,
107,8,B,IV,d,LE,0,4,0,1,1,,,,
108,8,B,IV,d,CB,1,5,1,0,0,,,,
109,8,B,IV,d,GD,1,6,1,0,0,,,,
110,8,B,IV,d,NG,1,7,1,1,0,,,,
111,8,B,IV,d,SS,1,8,1,1,0,,,,
112,8,B,IV,d,AV,0,9,0,1,0,,,,
113,8,C,I,a,GD,0,1,0,,,,,,
114,8,C,I,a,CB,1,2,1,1,9,,,,
115,8,C,I,a,AV,1,3,1,1,1,,,,
116,8,C,I,a,NG,1,4,1,1,0,,,,
117,8,C,I,a,AB,1,5,1,0,0,,,,
118,8,C,I,a,LE,1,6,1,0,3,,,,
119,8,C,I,a,SS,1,7,1,1,0,,,,
1572,57,C,IV,d,CB,1,8,0,,,,,"*data sheet faded and in bad condition; hard to read (JLT)*, recruit count?",
398,8,E,III,a,CB,1,4,1,0,0,,,2 dead flower stalks,
1489,57,C,II,a,LE,1,3,1,0,24,,,2 plants with large single leaves. Hard to tell if founder.,
123,8,C,I,b,AV,1,5,1,1,0,,,,
124,8,C,I,b,NG,1,6,1,1,0,,,,
2845,54S,C,II,b,SS,0,1,0,0,2,,,"2 previously tagged, only 1408 was on recruit sheet",
126,8,C,I,b,GD,0,8,0,,,,,,
127,8,C,I,c,AB,1,2,1,0,18,,,,
1013,52,C,I,a,SS,0,2,0,,,,,"2 small trees (4'',6'') fell across plot, recruit count?",
129,8,C,I,c,SS,1,4,1,0,0,,,,
1093,52,C,III,d,SS,1,4,1,,,,,"2 tiny leaves only, recruit count?",
131,8,C,I,c,CB,1,6,0,,20,,,,
132,8,C,I,c,GD,0,7,0,,,,,,
1069,52,C,III,a,AB,1,3,1,0,0,,,"5'' diameter log fell across plot, diagonally",
3008,54S,D,IV,a,LE,0,3,0,0,2,,,accidentally destroyed (1 leaf),
1855,53N,B,III,a,SS,0,5,1,1,0,,,alive,
1145,52,D,I,c,LE,0,8,1,0,0,,,alive,
137,8,C,I,d,GD,1,5,1,,,,,,
2572,53S,D,IV,c,GD,0,5,1,,,,,alive,
139,8,C,I,d,AB,1,7,1,0,4,,,,
2666,53S,E,III,d,SS,0,5,1,1,0,,,alive,
2093,53N,D,III,c,LE,0,2,1,1,0,,,alive,
142,8,C,II,a,AV,1,3,1,1,7,,,,
143,8,C,II,a,CB,1,4,1,0,1,,,,
144,8,C,II,a,LE,1,5,1,0,1,,,,
145,8,C,II,a,GD,1,6,1,,,,,,
146,8,C,II,a,SS,1,7,1,0,0,,,,
147,8,C,II,a,NG,1,8,1,0,0,,,,
148,8,C,II,b,CB,0,2,0,,1,,,,
149,8,C,II,b,AB,1,3,1,0,0,,,,
150,8,C,II,b,AV,1,4,1,0,0,,,,
151,8,C,II,b,LE,1,5,1,0,0,,,,
152,8,C,II,b,SS,1,6,1,1,0,,,,
153,8,C,II,b,NG,1,7,1,1,0,,,,
154,8,C,II,b,GD,1,9,1,,,,,,
155,8,C,II,c,AB,1,2,1,1,1,,,,
3134,54S,E,IV,c,LE,0,4,1,1,8,,,alive,
157,8,C,II,c,GD,1,4,1,,,,,,
158,8,C,II,c,CB,1,5,1,1,12,,,,
762,10,D,IV,a,AB,0,2,1,0,0,,,alive,
763,10,D,IV,a,LE,0,4,1,0,0,,,alive,
161,8,C,II,c,LE,1,9,1,0,2,,,,
2435,53S,C,III,c,LE,0,6,1,1,8,,,alive,
3039,54S,E,I,a,LE,0,8,1,0,0,,,alive,
2486,53S,D,I,c,CB,1,1,0,,26,,,All of the CB near where the founder should be are tagged,
165,8,C,II,d,GD,1,5,1,,,,,,
2155,53N,E,I,c,AB,1,7,1,0,0,,,"Ant mound in center of AB, but still alive",
2683,53S,E,IV,b,AV,1,9,0,,0,,,Area covered by GELSEM and AND spp.,
2118,53N,D,IV,b,SS,1,5,0,,0,,,"Area heavily shaded by huge, founder AB",
169,8,C,III,a,AB,1,1,1,0,0,,,,
170,8,C,III,a,LE,1,2,0,1,0,,,,
171,8,C,III,a,AV,1,4,1,1,0,,,,
172,8,C,III,a,CB,1,5,1,0,0,,,,
173,8,C,III,a,NG,1,6,1,0,0,,,,
174,8,C,III,a,GD,1,7,1,,,,,,
175,8,C,III,a,SS,0,8,0,,0,,,,
176,8,C,III,b,NG,1,1,1,1,0,,,,
177,8,C,III,b,SS,1,2,1,1,0,,,,
178,8,C,III,b,LE,1,3,0,1,0,,,,
179,8,C,III,b,GD,1,4,1,,,,,,
180,8,C,III,b,CB,1,5,1,1,25,,,,
181,8,C,III,b,AV,0,7,0,1,0,,,,
182,8,C,III,b,AB,1,8,1,0,8,1,2,,
183,8,C,III,c,CB,1,2,1,0,1,,,,
184,8,C,III,c,SS,1,3,1,1,0,,,,
185,8,C,III,c,AV,0,4,0,,0,,,,
186,8,C,III,c,LE,0,5,0,,0,,,,
187,8,C,III,c,GD,0,6,0,,0,,,,
188,8,C,III,c,AB,1,7,1,0,7,,,,
189,8,C,III,c,NG,1,8,1,1,0,,,,
190,8,C,III,d,GD,0,1,0,,0,,,,
191,8,C,III,d,LE,0,2,0,,0,,,,
192,8,C,III,d,AV,1,3,0,,0,,,,
193,8,C,III,d,NG,1,4,0,1,0,,,,
194,8,C,III,d,SS,1,5,1,1,7,,,,
195,8,C,III,d,CB,1,6,1,0,2,,,,
196,8,C,III,d,AB,1,8,1,1,11,,,,
197,8,C,IV,a,SS,0,2,0,,0,,,,
198,8,C,IV,a,AV,1,3,1,1,15,,,,
199,8,C,IV,a,LE,1,4,1,0,0,,,,
200,8,C,IV,a,GD,1,6,1,,,,,,
201,8,C,IV,a,CB,1,7,1,1,0,,,,
202,8,C,IV,a,NG,1,8,1,1,5,,,,
203,8,C,IV,a,AB,1,9,1,1,0,,,,
2319,53S,B,III,c,AV,1,2,0,0,1,,,area herbicided,
205,8,C,IV,b,CB,1,3,1,1,11,,,,
206,8,C,IV,b,AB,1,4,1,0,2,,,,
2320,53S,B,III,c,LE,0,3,0,,0,,,area herbicided,
208,8,C,IV,b,NG,1,6,1,1,1,,,,
209,8,C,IV,b,AV,1,8,1,1,2,,,,
210,8,C,IV,b,GD,0,9,0,,,,,,
211,8,C,IV,c,AV,1,1,1,1,0,,,,
212,8,C,IV,c,NG,1,2,1,1,0,,,,
213,8,C,IV,c,AB,1,3,1,0,6,,,,
214,8,C,IV,c,CB,1,4,1,1,9,,,,
128,8,C,I,c,AV,1,3,1,0,0,,,barely alive,
216,8,C,IV,c,SS,1,7,1,1,0,,,,
217,8,C,IV,c,GD,0,8,0,,,,,,
218,8,C,IV,d,AB,1,2,1,0,0,,,,
219,8,C,IV,d,AV,1,3,1,1,1,,,,
220,8,C,IV,d,GD,0,4,0,,,,,,
2288,53S,B,II,b,AV,1,7,1,0,0,,,barely alive,
224,8,C,IV,d,SS,1,7,1,1,0,,,,
225,8,C,IV,d,CB,1,8,0,,3,,,,
1438,57,B,IV,a,CB,1,7,1,1,0,,,chewed stalk/s,
227,8,D,I,a,CB,1,1,1,0,0,,,,
3078,54S,E,II,c,CB,1,4,1,1,3,,,chewed stalk/s,
229,8,D,I,a,SS,1,3,1,0,0,,,,
230,8,D,I,a,GD,1,4,1,,,,,,
231,8,D,I,a,AB,1,5,1,0,0,,,,
937,52,B,II,b,AV,1,3,1,1,4,,,chewed stalk/s,
1180,52,D,II,d,CB,1,8,1,1,17,,,chewed stalk/s,
234,8,D,I,b,LE,1,2,0,,0,,,,
235,8,D,I,b,AV,1,3,0,,0,,,,
236,8,D,I,b,CB,1,4,1,1,4,,,,
2335,53S,B,IV,a,AV,1,5,1,1,2,,,chewed stalk/s,
978,52,B,III,d,CB,1,1,1,1,24,,,chewed stalk/s,
239,8,D,I,b,AB,1,7,1,1,0,,,,
240,8,D,I,b,GD,1,9,1,0,9,,,,
3095,54S,E,III,a,LE,1,6,1,1,0,,,chewed stalk/s,
1273,52,E,II,b,AV,1,3,1,1,2,,,chewed stalk/s,
243,8,D,I,c,AV,1,4,1,0,0,,,,
244,8,D,I,c,SS,1,6,1,1,1,,,,
245,8,D,I,c,NG,1,7,1,1,0,,,,
246,8,D,I,c,CB,1,8,0,,1,,,,
247,8,D,I,c,GD,0,9,0,,0,,,,
248,8,D,I,d,GD,0,2,0,,,,,,
249,8,D,I,d,SS,0,3,0,,0,,,,
250,8,D,I,d,CB,1,4,0,,1,,,,
251,8,D,I,d,LE,1,5,0,,0,,,,
252,8,D,I,d,NG,1,6,1,1,0,,,,
253,8,D,I,d,AV,1,7,1,1,0,,,,
254,8,D,I,d,AB,1,8,1,0,12,1,4,,
2082,53N,D,III,a,NG,1,5,1,1,12,1,1,chewed stalk/s ,
256,8,D,II,a,CB,1,2,1,0,0,,,,
257,8,D,II,a,NG,1,3,1,1,0,,,,
258,8,D,II,a,GD,0,5,0,,,,,,
907,52,B,I,a,AV,1,9,1,1,0,,,chewed stalk/s ,
1004,52,B,IV,c,AV,1,7,1,1,0,,,chewed stalk/s ,
671,10,C,IV,d,CB,1,4,1,1,0,,,chewed stalk/s ,
262,8,D,II,b,AV,1,1,1,1,5,,,,
263,8,D,II,b,AB,1,3,1,0,0,,,,
264,8,D,II,b,SS,1,4,1,1,5,,,,
265,8,D,II,b,CB,1,5,1,1,2,,,,
266,8,D,II,b,LE,1,6,1,1,0,,,,
267,8,D,II,b,GD,0,7,0,,0,,,,
268,8,D,II,b,NG,0,8,0,,0,,,,
269,8,D,II,c,SS,0,1,0,,0,,,,
2741,54S,B,II,c,AV,1,2,1,0,0,,,clumped,
271,8,D,II,c,AV,1,3,1,1,45,,,,
272,8,D,II,c,CB,1,4,1,1,0,,,,
273,8,D,II,c,AB,1,5,1,0,0,,,,
274,8,D,II,c,GD,0,7,0,,,,,,
275,8,D,II,c,LE,0,8,0,,1,,,,
276,8,D,II,d,NG,1,2,1,1,1,,,,
277,8,D,II,d,GD,1,3,1,,,,,,
278,8,D,II,d,SS,1,4,1,1,0,,,,
279,8,D,II,d,CB,1,5,1,1,2,,,,
280,8,D,II,d,LE,0,6,0,,0,,,,
281,8,D,II,d,AV,1,7,1,1,0,,,,
282,8,D,II,d,AB,1,8,1,0,0,,,,
283,8,D,III,a,SS,1,1,1,1,0,,,,
284,8,D,III,a,AB,1,2,1,0,0,,,,
285,8,D,III,a,AV,0,4,0,,0,,,,
286,8,D,III,a,CB,0,5,0,,0,,,,
287,8,D,III,a,GD,0,6,0,,0,,,,
288,8,D,III,a,LE,0,7,0,,0,,,,
289,8,D,III,a,NG,1,8,0,,0,,,,
290,8,D,III,b,GD,1,1,1,,,,,,
291,8,D,III,b,CB,1,2,1,1,1,,,,
292,8,D,III,b,LE,1,3,1,0,1,,,,
293,8,D,III,b,AB,1,4,1,0,1,,,,
294,8,D,III,b,AV,1,6,1,1,0,,,,
295,8,D,III,b,SS,1,7,1,1,4,,,,
296,8,D,III,b,NG,1,8,1,1,0,,,,
297,8,D,III,c,AV,0,1,0,,0,,,,
298,8,D,III,c,CB,1,2,1,1,8,,,,
299,8,D,III,c,AB,1,3,1,0,14,,,,
300,8,D,III,c,GD,0,4,0,,,,,,
301,8,D,III,c,SS,1,5,1,1,1,,,,
2110,53N,D,IV,a,SS,0,4,1,0,2,,,"Could be a recruit, but it's exactly in line with other founders",
303,8,D,III,c,LE,1,7,1,0,8,,,,
304,8,D,III,d,GD,1,2,1,,,,,,
305,8,D,III,d,CB,0,3,0,,0,,,,
2125,53N,D,IV,c,AB,0,5,1,0,0,,,"Could be a recruit, but it's exactly in line with other founders",
307,8,D,III,d,SS,1,5,1,1,0,,,,
308,8,D,III,d,LE,.,7,1,0,0,,,,
