"block","patch","corner","distance","species","stalk","no.viable_seeds","no.nonviable_seeds","notes","dispersed_percent","plant_ID","ptype","live","reproductive","length","width","height","no_basal_fl","no_axil_fl","predisp_seedpred","flags","Flag.Notes","dist_num"
"8","A","I","a","Liatris",1,NA,NA,NA,NA,"LE.8.A.I.a","Center",1,0,"4","10","35",NA,NA,NA,"0",NA,0
"8","A","I","a","Liatris",2,NA,NA,NA,NA,"LE.8.A.I.a","Center",1,0,"4","10","35",NA,NA,NA,"0",NA,0
"8","A","I","a","Liatris",3,NA,NA,NA,NA,"LE.8.A.I.a","Center",1,0,"4","10","35",NA,NA,NA,"0",NA,0
"8","A","I","a","Carphephorus",1,NA,NA,NA,NA,"CB.8.A.I.a","Center",1,0,"6","7","0.5","0",NA,NA,"0",NA,0
"8","A","I","a","Carphephorus",2,NA,NA,NA,NA,"CB.8.A.I.a","Center",1,0,"6","7","0.5","0",NA,NA,"0",NA,0
"8","A","I","a","Carphephorus",3,NA,NA,NA,NA,"CB.8.A.I.a","Center",1,0,"6","7","0.5","0",NA,NA,"0",NA,0
"8","A","I","a","Sorghastrum",1,NA,NA,NA,NA,"SS.8.A.I.a","Center",1,0,"8","8","21","0",NA,NA,"0",NA,0
"8","A","I","a","Sorghastrum",2,NA,NA,NA,NA,"SS.8.A.I.a","Center",1,0,"8","8","21","0",NA,NA,"0",NA,0
"8","A","I","a","Sorghastrum",3,NA,NA,NA,NA,"SS.8.A.I.a","Center",1,0,"8","8","21","0",NA,NA,"0",NA,0
"8","A","I","a","Aristida",1,NA,NA,NA,NA,"AB.8.A.I.a","Center",1,0,"61","67","35","0",NA,NA,"0",NA,0
"8","A","I","a","Aristida",2,NA,NA,NA,NA,"AB.8.A.I.a","Center",1,0,"61","67","35","0",NA,NA,"0",NA,0
"8","A","I","a","Aristida",3,NA,NA,NA,NA,"AB.8.A.I.a","Center",1,0,"61","67","35","0",NA,NA,"0",NA,0
"8","A","I","a","Anthaenantia",1,"23","1",NA,NA,"AV.8.A.I.a","Center",1,1,"20","11","5","2",NA,"0","0",NA,0
"8","A","I","a","Anthaenantia",2,NA,NA,NA,NA,"AV.8.A.I.a","Center",1,1,"20","11","5","2",NA,"0","0",NA,0
"8","A","I","a","Anthaenantia",3,NA,NA,NA,NA,"AV.8.A.I.a","Center",1,1,"20","11","5","2",NA,"0","0",NA,0
"8","A","I","b","Liatris",1,"0","14",NA,NA,"LE.8.A.I.b","Center",1,1,"57","21","5","1","3","0.1","0",NA,10
"8","A","I","b","Liatris",2,"4","11",NA,NA,"LE.8.A.I.b","Center",1,1,"57","21","5","1","3","0.1","0",NA,10
"8","A","I","b","Liatris",3,"0","16",NA,NA,"LE.8.A.I.b","Center",1,1,"57","21","5","1","3","0.1","0",NA,10
"8","A","I","b","Carphephorus",1,"3","17",NA,NA,"CB.8.A.I.b","Center",1,1,"18","16","5.5","1","10","0.2","0",NA,10
"8","A","I","b","Carphephorus",2,"3","17",NA,NA,"CB.8.A.I.b","Center",1,1,"18","16","5.5","1","10","0.2","0",NA,10
"8","A","I","b","Carphephorus",3,NA,NA,NA,NA,"CB.8.A.I.b","Center",1,1,"18","16","5.5","1","10","0.2","0",NA,10
"8","A","I","b","Sorghastrum",1,NA,NA,NA,NA,"SS.8.A.I.b","Center",1,0,"37","47","34","0",NA,NA,"0",NA,10
"8","A","I","b","Sorghastrum",2,NA,NA,NA,NA,"SS.8.A.I.b","Center",1,0,"37","47","34","0",NA,NA,"0",NA,10
"8","A","I","b","Sorghastrum",3,NA,NA,NA,NA,"SS.8.A.I.b","Center",1,0,"37","47","34","0",NA,NA,"0",NA,10
"8","A","I","b","Aristida",1,"2","77",NA,NA,"AB.8.A.I.b","Center",1,0,"79","78","40","0",NA,NA,"0",NA,10
"8","A","I","b","Aristida",2,NA,NA,NA,NA,"AB.8.A.I.b","Center",1,0,"79","78","40","0",NA,NA,"0",NA,10
"8","A","I","b","Aristida",3,NA,NA,NA,NA,"AB.8.A.I.b","Center",1,0,"79","78","40","0",NA,NA,"0",NA,10
"8","A","I","b","Anthaenantia",1,"95","6",NA,NA,"AV.8.A.I.b","Center",1,1,"28","27","4","6",NA,"0","0",NA,10
"8","A","I","b","Anthaenantia",2,"106","5",NA,NA,"AV.8.A.I.b","Center",1,1,"28","27","4","6",NA,"0","0",NA,10
"8","A","I","b","Anthaenantia",3,"89","4",NA,NA,"AV.8.A.I.b","Center",1,1,"28","27","4","6",NA,"0","0",NA,10
"8","A","I","c","Liatris",1,"1","10",NA,NA,"LE.8.A.I.c","Center",1,1,"18","47","54","1","0","0.1","0",NA,19
"8","A","I","c","Liatris",2,NA,NA,NA,NA,"LE.8.A.I.c","Center",1,1,"18","47","54","1","0","0.1","0",NA,19
"8","A","I","c","Liatris",3,NA,NA,NA,NA,"LE.8.A.I.c","Center",1,1,"18","47","54","1","0","0.1","0",NA,19
"8","A","I","c","Carphephorus",1,NA,NA,NA,NA,"CB.8.A.I.c","Center",1,0,"1.5","2.5","1","0",NA,NA,"0",NA,19
"8","A","I","c","Carphephorus",2,NA,NA,NA,NA,"CB.8.A.I.c","Center",1,0,"1.5","2.5","1","0",NA,NA,"0",NA,19
"8","A","I","c","Carphephorus",3,NA,NA,NA,NA,"CB.8.A.I.c","Center",1,0,"1.5","2.5","1","0",NA,NA,"0",NA,19
"8","A","I","c","Sorghastrum",1,"92","111",NA,NA,"SS.8.A.I.c","Center",1,1,"67","91","31","35",NA,"0","0",NA,19
"8","A","I","c","Sorghastrum",2,NA,NA,NA,NA,"SS.8.A.I.c","Center",1,1,"67","91","31","35",NA,"0","0",NA,19
"8","A","I","c","Sorghastrum",3,NA,NA,NA,NA,"SS.8.A.I.c","Center",1,1,"67","91","31","35",NA,"0","0",NA,19
"8","A","I","c","Aristida",1,NA,NA,NA,NA,"AB.8.A.I.c","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,19
"8","A","I","c","Aristida",2,NA,NA,NA,NA,"AB.8.A.I.c","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,19
"8","A","I","c","Aristida",3,NA,NA,NA,NA,"AB.8.A.I.c","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,19
"8","A","I","c","Anthaenantia",1,"87","24",NA,NA,"AV.8.A.I.c","Center",1,1,"49","65","16.5","30",NA,"0","0",NA,19
"8","A","I","c","Anthaenantia",2,"74","14",NA,NA,"AV.8.A.I.c","Center",1,1,"49","65","16.5","30",NA,"0","0",NA,19
"8","A","I","c","Anthaenantia",3,"67","1",NA,NA,"AV.8.A.I.c","Center",1,1,"49","65","16.5","30",NA,"0","0",NA,19
"8","A","I","d","Liatris",1,"16","1",NA,NA,"LE.8.A.I.d","Center",1,1,"5","14","29","1","0","0","0",NA,36
"8","A","I","d","Liatris",2,"5","5",NA,NA,"LE.8.A.I.d","Center",1,1,"5","14","29","1","0","0","0",NA,36
"8","A","I","d","Liatris",3,NA,NA,NA,NA,"LE.8.A.I.d","Center",1,1,"5","14","29","1","0","0","0",NA,36
"8","A","I","d","Carphephorus",1,"1","16",NA,NA,"CB.8.A.I.d","Center",1,1,"18","14","8","2","17","0","0",NA,36
"8","A","I","d","Carphephorus",2,"0","17",NA,NA,"CB.8.A.I.d","Center",1,1,"18","14","8","2","17","0","0",NA,36
"8","A","I","d","Carphephorus",3,"1","8",NA,NA,"CB.8.A.I.d","Center",1,1,"18","14","8","2","17","0","0",NA,36
"8","A","I","d","Sorghastrum",1,"52","46",NA,NA,"SS.8.A.I.d","Center",1,1,"81","73","28","46",NA,"0.1","0",NA,36
"8","A","I","d","Sorghastrum",2,"48","46",NA,NA,"SS.8.A.I.d","Center",1,1,"81","73","28","46",NA,"0.1","0",NA,36
"8","A","I","d","Sorghastrum",3,"54","39",NA,NA,"SS.8.A.I.d","Center",1,1,"81","73","28","46",NA,"0.1","0",NA,36
"8","A","I","d","Aristida",1,"0","57",NA,NA,"AB.8.A.I.d","Center",1,1,"56","64","30","4",NA,"0.1","0",NA,36
"8","A","I","d","Aristida",2,"0","17","herbivory or dispersed prior to collecting stalk",NA,"AB.8.A.I.d","Center",1,1,"56","64","30","4",NA,"0.1","0",NA,36
"8","A","I","d","Aristida",3,"0","48",NA,NA,"AB.8.A.I.d","Center",1,1,"56","64","30","4",NA,"0.1","0",NA,36
"8","A","I","d","Anthaenantia",1,"147","20",NA,NA,"AV.8.A.I.d","Center",1,NA,"29","25","9",NA,NA,"0","5",NA,36
"8","A","I","d","Anthaenantia",2,"74","9",NA,NA,"AV.8.A.I.d","Center",1,NA,"29","25","9",NA,NA,"0","5",NA,36
"8","A","I","d","Anthaenantia",3,"79","12",NA,NA,"AV.8.A.I.d","Center",1,NA,"29","25","9",NA,NA,"0","5",NA,36
"8","A","II","a","Liatris",1,NA,NA,NA,NA,"LE.8.A.II.a","Center",1,0,"17","20","6.5","0",NA,NA,"0",NA,0
"8","A","II","a","Liatris",2,NA,NA,NA,NA,"LE.8.A.II.a","Center",1,0,"17","20","6.5","0",NA,NA,"0",NA,0
"8","A","II","a","Liatris",3,NA,NA,NA,NA,"LE.8.A.II.a","Center",1,0,"17","20","6.5","0",NA,NA,"0",NA,0
"8","A","II","a","Carphephorus",1,NA,NA,NA,NA,"CB.8.A.II.a","Center",1,0,"8","5.5","2","0",NA,NA,"0",NA,0
"8","A","II","a","Carphephorus",2,NA,NA,NA,NA,"CB.8.A.II.a","Center",1,0,"8","5.5","2","0",NA,NA,"0",NA,0
"8","A","II","a","Carphephorus",3,NA,NA,NA,NA,"CB.8.A.II.a","Center",1,0,"8","5.5","2","0",NA,NA,"0",NA,0
"8","A","II","a","Sorghastrum",1,NA,NA,NA,NA,"SS.8.A.II.a","Center",1,0,"4","4","9","0",NA,NA,"0",NA,0
"8","A","II","a","Sorghastrum",2,NA,NA,NA,NA,"SS.8.A.II.a","Center",1,0,"4","4","9","0",NA,NA,"0",NA,0
"8","A","II","a","Sorghastrum",3,NA,NA,NA,NA,"SS.8.A.II.a","Center",1,0,"4","4","9","0",NA,NA,"0",NA,0
